;Label;SuperCategory;Has role;Is part of;Id;Synonym;DefiningCitation;Definition;Comment
"owl:Class
""color space""
oen_term:oen_0000000
""odML terminology""";color space;oen_term:oen_0000000;';';oen_0000109;';';';'
"owl:Class
""square wave start amplitude""
oen_term:oen_0000000
""odML terminology""";square wave start amplitude;oen_term:oen_0000000;';';oen_0000108;';';';'
"owl:Class
""frame rate""
oen_term:oen_0000000
""odML terminology""";frame rate;oen_term:oen_0000000;';';oen_0000662;';';';'
"owl:Class
""ramp slope""
oen_term:oen_0000000
""odML terminology""";ramp slope;oen_term:oen_0000000;';';oen_0000663;';';';'
"owl:Class
""researcher contact details""
oen_term:oen_0000000
""Helmholtz""";researcher contact details;oen_term:oen_0000000;';';oen_0000568;';';';'
"owl:Class
""psychophysics experimental paradigm""
oen_term:oen_0000000
""odML terminology""";psychophysics experimental paradigm;oen_term:oen_0000000;';';oen_0000718;';';';'
"owl:Class
""discrete drug application time""
oen_term:oen_0000000
""Helmholtz""";discrete drug application time;oen_term:oen_0000000;';';oen_0000719;';';';'
"owl:Class
""functional magnetic resonance imaging""
oen_term:oen_0000000
""odML terminology""";functional magnetic resonance imaging;oen_term:oen_0000000;';';oen_0000068;';';';'
"owl:Class
""pulse width""
oen_term:oen_0000000
""odML terminology""";pulse width;oen_term:oen_0000000;';';oen_0000069;';';';'
"owl:Class
""postal code""
oen_term:oen_0000000
""Helmholtz""";postal code;oen_term:oen_0000000;';';oen_0000062;';';';'
"owl:Class
""cell recording location""
oen_term:oen_0000000
""odML terminology""";cell recording location;oen_term:oen_0000000;';';oen_0000063;';';';'
"owl:Class
""network address""
oen_term:oen_0000000
""Helmholtz""";network address;oen_term:oen_0000000;';';oen_0000060;';';';'
"owl:Class
""storage root""
oen_term:oen_0000000
""Helmholtz""";storage root;oen_term:oen_0000000;';';oen_0000061;';';';'
"owl:Class
""head mounted eye tracker""
oen_term:oen_0000000
""odML terminology""";head mounted eye tracker;oen_term:oen_0000000;';';oen_0000066;';';';'
